code,csv_file,file_size_kb,name,industry_name
sh.600188,sh_600188.csv,13.748046875,兖矿能源,未知行业
sh.600189,sh_600189.csv,12.830078125,泉阳泉,未知行业
sh.600191,sh_600191.csv,13.333984375,华资实业,未知行业
sh.600192,sh_600192.csv,13.126953125,长城电工,未知行业
sh.600193,sh_600193.csv,12.69140625,*ST创兴,未知行业
sh.600195,sh_600195.csv,12.884765625,中牧股份,未知行业
sh.600196,sh_600196.csv,13.7451171875,复星医药,未知行业
sh.600197,sh_600197.csv,13.4013671875,伊力特,未知行业
sh.600198,sh_600198.csv,13.0615234375,大唐电信,未知行业
sh.600199,sh_600199.csv,13.15234375,金种子酒,未知行业
sh.600201,sh_600201.csv,13.6689453125,生物股份,未知行业
sh.600202,sh_600202.csv,12.73046875,哈空调,未知行业
sh.600203,sh_600203.csv,13.6533203125,福日电子,未知行业
sh.600206,sh_600206.csv,13.7373046875,有研新材,未知行业
sh.600207,sh_600207.csv,12.9873046875,安彩高科,未知行业
sh.600208,sh_600208.csv,13.01953125,衢州发展,未知行业
sh.600210,sh_600210.csv,12.96875,紫江企业,未知行业
sh.600211,sh_600211.csv,13.5390625,西藏药业,未知行业
sh.600212,sh_600212.csv,12.861328125,绿能慧充,未知行业
sh.600215,sh_600215.csv,12.8427734375,派斯林,未知行业
sh.600216,sh_600216.csv,13.6572265625,浙江医药,未知行业
sh.600217,sh_600217.csv,12.796875,中再资环,未知行业
sh.600218,sh_600218.csv,13.4091796875,全柴动力,未知行业
sh.600219,sh_600219.csv,13.2080078125,南山铝业,未知行业
sh.600221,sh_600221.csv,13.04296875,海航控股,未知行业
sh.600222,sh_600222.csv,12.7529296875,太龙药业,未知行业
sh.600223,sh_600223.csv,12.73828125,福瑞达,未知行业
sh.600226,sh_600226.csv,13.0673828125,亨通股份,未知行业
sh.600227,sh_600227.csv,12.880859375,赤天化,未知行业
sh.600228,sh_600228.csv,12.7451171875,*ST返利,未知行业
sh.600229,sh_600229.csv,12.71484375,城市传媒,未知行业
sh.600230,sh_600230.csv,13.552734375,沧州大化,未知行业
sh.600231,sh_600231.csv,12.8095703125,凌钢股份,未知行业
sh.600232,sh_600232.csv,12.77734375,金鹰股份,未知行业
sh.600233,sh_600233.csv,13.6630859375,圆通速递,未知行业
sh.600234,sh_600234.csv,13.3857421875,科新发展,未知行业
sh.600235,sh_600235.csv,12.716796875,民丰特纸,未知行业
sh.600236,sh_600236.csv,12.9892578125,桂冠电力,未知行业
sh.600237,sh_600237.csv,13.130859375,铜峰电子,未知行业
sh.600238,sh_600238.csv,12.7060546875,*ST椰岛,未知行业
sh.600239,sh_600239.csv,12.787109375,云南城投,未知行业
sh.600241,sh_600241.csv,12.7626953125,时代万恒,未知行业
sh.600243,sh_600243.csv,12.4599609375,*ST海华,未知行业
sh.600246,sh_600246.csv,13.64453125,万通发展,未知行业
sh.600248,sh_600248.csv,12.6611328125,陕建股份,未知行业
sh.600249,sh_600249.csv,12.80078125,两面针,未知行业
sh.600250,sh_600250.csv,13.5859375,南京商旅,未知行业
sh.600251,sh_600251.csv,13.21875,冠农股份,未知行业
sh.600252,sh_600252.csv,12.8330078125,中恒集团,未知行业
sh.600255,sh_600255.csv,12.9775390625,鑫科材料,未知行业
sh.600256,sh_600256.csv,13.046875,广汇能源,未知行业
sh.600257,sh_600257.csv,12.984375,大湖股份,未知行业
sh.600258,sh_600258.csv,13.6357421875,首旅酒店,未知行业
sh.600259,sh_600259.csv,13.66015625,XD中稀有,未知行业
sh.600261,sh_600261.csv,12.763671875,阳光照明,未知行业
sh.600262,sh_600262.csv,13.453125,北方股份,未知行业
sh.600265,sh_600265.csv,13.0009765625,ST景谷,未知行业
sh.600266,sh_600266.csv,13.0068359375,城建发展,未知行业
sh.600267,sh_600267.csv,13.5341796875,海正药业,未知行业
sh.600268,sh_600268.csv,13.7529296875,国电南自,未知行业
sh.600269,sh_600269.csv,12.8427734375,赣粤高速,未知行业
sh.600271,sh_600271.csv,13.220703125,航天信息,未知行业
sh.600272,sh_600272.csv,13.46484375,开开实业,未知行业
sh.600273,sh_600273.csv,13.1396484375,嘉化能源,未知行业
sh.600276,sh_600276.csv,13.8193359375,恒瑞医药,未知行业
sh.600278,sh_600278.csv,12.8095703125,东方创业,未知行业
sh.600279,sh_600279.csv,12.638671875,重庆港,未知行业
sh.600280,sh_600280.csv,12.818359375,中央商场,未知行业
sh.600281,sh_600281.csv,12.82421875,华阳新材,未知行业
sh.600282,sh_600282.csv,13.0390625,南钢股份,未知行业
sh.600283,sh_600283.csv,12.7314453125,钱江水利,未知行业
sh.600284,sh_600284.csv,13.0166015625,浦东建设,未知行业
sh.600285,sh_600285.csv,13.5517578125,羚锐制药,未知行业
sh.600287,sh_600287.csv,12.541015625,苏豪时尚,未知行业
sh.600288,sh_600288.csv,13.564453125,大恒科技,未知行业
sh.600289,sh_600289.csv,12.671875,ST信通,未知行业
sh.600292,sh_600292.csv,13.6279296875,电投水电,未知行业
sh.600293,sh_600293.csv,12.951171875,三峡新材,未知行业
sh.600295,sh_600295.csv,13.6171875,鄂尔多斯,未知行业
sh.600298,sh_600298.csv,13.583984375,安琪酵母,未知行业
sh.600299,sh_600299.csv,13.1455078125,安迪苏,未知行业
sh.600300,sh_600300.csv,12.828125,维维股份,未知行业
sh.600301,sh_600301.csv,13.5361328125,华锡有色,未知行业
sh.600302,sh_600302.csv,13.162109375,标准股份,未知行业
sh.600303,sh_600303.csv,12.7548828125,曙光股份,未知行业
sh.600305,sh_600305.csv,12.8037109375,恒顺醋业,未知行业
sh.600307,sh_600307.csv,12.84375,酒钢宏兴,未知行业
sh.600308,sh_600308.csv,12.859375,华泰股份,未知行业
sh.600309,sh_600309.csv,13.73046875,万华化学,未知行业
sh.600310,sh_600310.csv,12.7978515625,广西能源,未知行业
sh.600312,sh_600312.csv,13.7490234375,平高电气,未知行业
sh.600313,sh_600313.csv,13.103515625,农发种业,未知行业
sh.600315,sh_600315.csv,13.5244140625,上海家化,未知行业
sh.600316,sh_600316.csv,13.595703125,洪都航空,未知行业
sh.600318,sh_600318.csv,12.9765625,新力金融,未知行业
sh.600319,sh_600319.csv,12.34375,亚星化学,未知行业
sh.600320,sh_600320.csv,12.9697265625,振华重工,未知行业
sh.600322,sh_600322.csv,12.7001953125,津投城开,未知行业
sh.600323,sh_600323.csv,13.2958984375,瀚蓝环境,未知行业
sh.600325,sh_600325.csv,12.9111328125,华发股份,未知行业
sh.600326,sh_600326.csv,13.583984375,西藏天路,未知行业
sh.600327,sh_600327.csv,12.8828125,大东方,未知行业
sh.600328,sh_600328.csv,13.013671875,中盐化工,未知行业
sh.600329,sh_600329.csv,13.5732421875,达仁堂,未知行业
sh.600330,sh_600330.csv,13.76171875,天通股份,未知行业
sh.600331,sh_600331.csv,13.7001953125,宏达股份,未知行业
sh.600332,sh_600332.csv,13.703125,白云山,未知行业
sh.600333,sh_600333.csv,12.8828125,长春燃气,未知行业
sh.600335,sh_600335.csv,12.7998046875,国机汽车,未知行业
sh.600336,sh_600336.csv,12.9208984375,澳柯玛,未知行业
sh.600337,sh_600337.csv,12.5859375,美克家居,未知行业
sh.600338,sh_600338.csv,13.7939453125,西藏珠峰,未知行业
sh.600339,sh_600339.csv,12.98828125,中油工程,未知行业
sh.600340,sh_600340.csv,13.021484375,华夏幸福,未知行业
sh.600343,sh_600343.csv,13.7646484375,航天动力,未知行业
sh.600345,sh_600345.csv,13.67578125,长江通信,未知行业
sh.600346,sh_600346.csv,13.6943359375,恒力石化,未知行业
sh.600348,sh_600348.csv,13.078125,华阳股份,未知行业
sh.600350,sh_600350.csv,13.06640625,山东高速,未知行业
sh.600351,sh_600351.csv,12.853515625,亚宝药业,未知行业
sh.600352,sh_600352.csv,13.7255859375,浙江龙盛,未知行业
sh.600353,sh_600353.csv,13.697265625,旭光电子,未知行业
sh.600354,sh_600354.csv,13.0341796875,敦煌种业,未知行业
sh.600355,sh_600355.csv,10.64453125,*ST精伦,未知行业
sh.600356,sh_600356.csv,12.796875,恒丰纸业,未知行业
sh.600358,sh_600358.csv,12.67578125,国旅联合,未知行业
sh.600359,sh_600359.csv,12.8251953125,新农开发,未知行业
sh.600360,sh_600360.csv,12.892578125,*ST华微,未知行业
sh.600361,sh_600361.csv,12.9306640625,创新新材,未知行业
sh.600362,sh_600362.csv,13.8046875,江西铜业,未知行业
sh.600363,sh_600363.csv,13.634765625,联创光电,未知行业
sh.600365,sh_600365.csv,12.6240234375,ST通葡,未知行业
sh.600366,sh_600366.csv,13.693359375,宁波韵升,未知行业
sh.600367,sh_600367.csv,13.6953125,红星发展,未知行业
sh.600368,sh_600368.csv,12.744140625,五洲交通,未知行业
sh.600369,sh_600369.csv,12.9541015625,西南证券,未知行业
sh.600370,sh_600370.csv,12.9326171875,三房巷,未知行业
sh.600371,sh_600371.csv,12.8388671875,万向德农,未知行业
sh.600372,sh_600372.csv,13.7763671875,中航机载,未知行业
sh.600373,sh_600373.csv,13.18359375,中文传媒,未知行业
sh.600375,sh_600375.csv,12.94921875,汉马科技,未知行业
sh.600376,sh_600376.csv,13.1103515625,首开股份,未知行业
sh.600377,sh_600377.csv,13.5732421875,宁沪高速,未知行业
sh.600378,sh_600378.csv,13.619140625,昊华科技,未知行业
sh.600379,sh_600379.csv,13.48046875,宝光股份,未知行业
sh.600380,sh_600380.csv,13.642578125,健康元,未知行业
sh.600381,sh_600381.csv,12.7275390625,*ST春天,未知行业
sh.600382,sh_600382.csv,12.9921875,广东明珠,未知行业
sh.600383,sh_600383.csv,13.0546875,金地集团,未知行业
sh.600386,sh_600386.csv,12.7470703125,北巴传媒,未知行业
sh.600388,sh_600388.csv,13.6689453125,龙净环保,未知行业
sh.600389,sh_600389.csv,13.615234375,江山股份,未知行业
sh.600390,sh_600390.csv,13.029296875,五矿资本,未知行业
sh.600391,sh_600391.csv,13.6591796875,航发科技,未知行业
sh.600392,sh_600392.csv,13.8056640625,盛和资源,未知行业
sh.600395,sh_600395.csv,12.87109375,盘江股份,未知行业
sh.600396,sh_600396.csv,12.8134765625,华电辽能,未知行业
sh.600397,sh_600397.csv,13.26171875,江钨装备,未知行业
sh.600398,sh_600398.csv,13.0224609375,海澜之家,未知行业
sh.600399,sh_600399.csv,13.03125,抚顺特钢,未知行业
sh.600400,sh_600400.csv,12.8291015625,红豆股份,未知行业
sh.600403,sh_600403.csv,13.0693359375,大有能源,未知行业
sh.600405,sh_600405.csv,12.9091796875,动力源,未知行业
sh.600406,sh_600406.csv,13.8447265625,国电南瑞,未知行业
sh.600408,sh_600408.csv,13.1162109375,安泰集团,未知行业
sh.600409,sh_600409.csv,13.0341796875,三友化工,未知行业
sh.600410,sh_600410.csv,13.9931640625,华胜天成,未知行业
sh.600415,sh_600415.csv,13.7626953125,小商品城,未知行业
sh.600416,sh_600416.csv,13.712890625,湘电股份,未知行业
sh.600418,sh_600418.csv,13.779296875,江淮汽车,未知行业
sh.600419,sh_600419.csv,12.947265625,天润乳业,未知行业
sh.600420,sh_600420.csv,13.4814453125,国药现代,未知行业
sh.600421,sh_600421.csv,12.68359375,*ST华嵘,未知行业
sh.600422,sh_600422.csv,13.3896484375,昆药集团,未知行业
sh.600423,sh_600423.csv,12.70703125,柳化股份,未知行业
sh.600425,sh_600425.csv,12.90234375,青松建化,未知行业
sh.600426,sh_600426.csv,13.720703125,华鲁恒升,未知行业
sh.600428,sh_600428.csv,13.0537109375,中远海特,未知行业
sh.600429,sh_600429.csv,12.9384765625,三元股份,未知行业
sh.600433,sh_600433.csv,12.7998046875,冠豪高新,未知行业
sh.600435,sh_600435.csv,13.74609375,北方导航,未知行业
sh.600436,sh_600436.csv,14.203125,片仔癀,未知行业
sh.600438,sh_600438.csv,13.3544921875,通威股份,未知行业
sh.600439,sh_600439.csv,12.732421875,瑞贝卡,未知行业
sh.600444,sh_600444.csv,13.390625,国机通用,未知行业
sh.600446,sh_600446.csv,13.6796875,金证股份,未知行业
sh.600448,sh_600448.csv,12.7978515625,华纺股份,未知行业
sh.600449,sh_600449.csv,13.5029296875,宁夏建材,未知行业
sh.600452,sh_600452.csv,13.3505859375,涪陵电力,未知行业
sh.600455,sh_600455.csv,13.392578125,博通股份,未知行业
sh.600456,sh_600456.csv,13.6474609375,宝钛股份,未知行业
sh.600458,sh_600458.csv,13.68359375,时代新材,未知行业
sh.600459,sh_600459.csv,13.697265625,贵研铂业,未知行业
sh.600460,sh_600460.csv,13.7890625,士兰微,未知行业
sh.600461,sh_600461.csv,12.98828125,洪城环境,未知行业
sh.600463,sh_600463.csv,13.275390625,空港股份,未知行业
sh.600467,sh_600467.csv,12.8876953125,好当家,未知行业
sh.600468,sh_600468.csv,13.0390625,百利电气,未知行业
sh.600469,sh_600469.csv,12.865234375,风神股份,未知行业
sh.600470,sh_600470.csv,13.0478515625,六国化工,未知行业
