排名,concept_name,concept_code,latest_price,pct_amount,pct_chg,total_mv,turn,up_count,down_count,leader_stock,leader_pct_chg,fetch_time
399,土地流转,BK0632,1911.44,-3.55,-0.19,469678336000,2.35,14,29,京投发展,10.04,2026-04-22 14:49:30
401,新消费,BK1652,986.43,-2.0,-0.2,873708256000,2.47,27,55,诚志股份,9.95,2026-04-22 14:49:30
400,微盘精选,BK1644,941.43,-1.9,-0.2,123791128000,2.14,19,30,凤形股份,5.3,2026-04-22 14:49:30
402,知识产权,BK0839,2215.67,-4.59,-0.21,384084624000,2.69,13,28,顶点软件,3.73,2026-04-22 14:49:30
405,长期破净,BK1635,1001.29,-2.2,-0.22,14709940736000,0.44,44,108,金 螳 螂,10.02,2026-04-22 14:49:30
404,体育产业,BK0708,1550.16,-3.48,-0.22,840732816000,1.72,27,46,东望时代,10.05,2026-04-22 14:49:30
403,汽车一体化压铸,BK1093,1401.64,-3.08,-0.22,369030144000,2.25,12,16,伊之密,2.41,2026-04-22 14:49:30
407,B股,BK0636,922.6,-2.15,-0.23,678817792000,0.19,25,42,汇丽B,4.43,2026-04-22 14:49:30
408,农药兽药,BK0730,1360.83,-3.15,-0.23,343328848000,1.73,15,28,长青股份,4.98,2026-04-22 14:49:30
406,酿酒概念,BK0477,42515.21,-96.4,-0.23,3040620944000,0.66,10,29,古越龙山,1.36,2026-04-22 14:49:30
409,价值股,BK1640,1010.31,-2.47,-0.24,13183960320000,0.52,34,64,常宝股份,5.13,2026-04-22 14:49:30
414,红利股,BK1641,1000.39,-2.55,-0.25,19824027648000,0.23,34,63,四方股份,7.92,2026-04-22 14:49:30
413,工程建设,BK0425,29149.64,-73.71,-0.25,1538215488000,1.27,21,42,镇海股份,10.02,2026-04-22 14:49:30
410,钒电池,BK1095,1473.16,-3.74,-0.25,606764000000,1.81,12,8,振华股份,2.17,2026-04-22 14:49:30
412,娃哈哈概念,BK1165,1742.03,-4.4,-0.25,153382121000,2.41,10,10,宁波色母,5.07,2026-04-22 14:49:30
411,共享经济,BK0807,966.63,-2.41,-0.25,248624880000,1.26,7,11,永安行,3.14,2026-04-22 14:49:30
415,NFT概念,BK0997,1852.06,-4.76,-0.26,661902944000,3.09,19,33,衢州发展,7.18,2026-04-22 14:49:30
417,电子竞技,BK0853,1477.93,-3.8,-0.26,2855828624000,1.64,15,19,顺网科技,4.65,2026-04-22 14:49:30
416,长寿药,BK0936,1113.26,-2.86,-0.26,146867688000,3.03,4,10,众生药业,2.18,2026-04-22 14:49:30
418,快递概念,BK0990,1207.41,-3.41,-0.28,662832960000,1.5,16,24,中邮科技,11.26,2026-04-22 14:49:30
421,中字头,BK0505,9779.17,-28.02,-0.29,16808055808000,0.5,28,68,中信金属,10.02,2026-04-22 14:49:30
419,AI语料,BK1172,1178.88,-3.45,-0.29,501982096000,3.28,12,20,岩山科技,2.63,2026-04-22 14:49:30
420,彩票概念,BK0671,3042.71,-8.89,-0.29,181039298000,2.29,5,14,天音控股,5.1,2026-04-22 14:49:30
422,REITs概念,BK0992,833.52,-2.51,-0.3,710297552000,1.15,7,17,哈投股份,7.01,2026-04-22 14:49:30
424,微盘股,BK1158,3746.54,-12.02,-0.32,962432608000,2.43,120,267,同德化工,10.02,2026-04-22 14:49:30
426,化妆品概念,BK0974,1291.89,-4.19,-0.32,658064032000,1.58,21,39,嘉必优,2.47,2026-04-22 14:49:30
423,户外露营,BK1079,1511.82,-4.83,-0.32,152292760000,1.47,6,21,绿茵生态,3.94,2026-04-22 14:49:30
425,PVDF概念,BK1012,1301.18,-4.23,-0.32,492372496000,2.5,3,13,东阳光,6.95,2026-04-22 14:49:30
427,噪声防治,BK1082,1847.11,-6.12,-0.33,50673699000,2.24,3,5,九州一轨,4.14,2026-04-22 14:49:30
428,肝素概念,BK0944,958.93,-3.29,-0.34,221048196000,1.26,4,9,东诚药业,0.51,2026-04-22 14:49:30
430,中特估,BK1139,1257.68,-4.48,-0.35,26265753600000,0.31,19,60,烽火通信,6.41,2026-04-22 14:49:30
429,换电概念,BK0985,1823.33,-6.32,-0.35,928606464000,1.85,16,26,协鑫能科,4.76,2026-04-22 14:49:30
434,大盘价值,BK1666,1007.61,-3.62,-0.36,31650604544000,0.39,24,72,中兴通讯,6.25,2026-04-22 14:49:30
431,维生素,BK0895,2016.27,-7.23,-0.36,508940864000,2.06,14,16,兴齐眼药,3.42,2026-04-22 14:49:30
435,粮食概念,BK1086,800.33,-2.87,-0.36,237280129000,2.01,13,17,新农开发,1.29,2026-04-22 14:49:30
433,转基因,BK0907,1538.22,-5.49,-0.36,151989108000,1.73,5,12,节能铁汉,1.82,2026-04-22 14:49:30
432,低碳冶金,BK0979,1060.06,-3.78,-0.36,308577440000,0.61,3,3,龙净环保,1.78,2026-04-22 14:49:30
436,可燃冰,BK0818,1757.86,-6.43,-0.36,263130067000,0.8,2,6,中集集团,2.03,2026-04-22 14:49:30
437,海南自贸,BK1193,1087.14,-4.02,-0.37,1286667088000,1.34,28,52,金盘科技,6.38,2026-04-22 14:49:30
440,网红经济,BK0940,785.11,-3.08,-0.39,1711144992000,2.76,42,90,梦洁股份,10.07,2026-04-22 14:49:30
441,HJT电池,BK0908,3437.89,-13.63,-0.39,874467120000,4.03,16,22,欧莱新材,13.78,2026-04-22 14:49:30
438,冰雪经济,BK1185,1098.26,-4.33,-0.39,348589088000,2.31,10,31,冰轮环境,10.01,2026-04-22 14:49:30
439,超级品牌,BK0811,2260.77,-8.89,-0.39,7699622912000,0.56,6,26,安孚科技,4.07,2026-04-22 14:49:30
442,房屋检测,BK1179,1495.16,-6.13,-0.41,282455072000,1.84,13,26,华蓝集团,5.13,2026-04-22 14:49:30
443,谷子经济,BK1183,1154.95,-4.92,-0.42,646719776000,2.65,25,49,尚品宅配,11.78,2026-04-22 14:49:30
445,京津冀,BK0684,1928.42,-8.23,-0.42,833363120000,1.74,20,35,凌云股份,4.11,2026-04-22 14:49:30
444,白酒,BK0896,2053.43,-8.64,-0.42,3057870448000,1.49,13,33,广誉远,2.05,2026-04-22 14:49:30
447,猪肉概念,BK0882,1306.14,-5.82,-0.44,825673552000,3.02,9,27,天邦食品,6.25,2026-04-22 14:49:30
446,包装材料,BK0733,1433.84,-6.33,-0.44,186435969000,4.39,7,21,昇兴股份,4.35,2026-04-22 14:49:30
448,建筑节能,BK1076,1209.02,-5.44,-0.45,288078736000,3.69,13,30,南网能源,4.61,2026-04-22 14:49:30
451,小红书概念,BK1187,1359.38,-6.33,-0.46,711709632000,3.74,20,53,尚品宅配,11.78,2026-04-22 14:49:30
449,环氧丙烷,BK1011,712.55,-3.32,-0.46,674385408000,1.58,8,15,石大胜华,5.63,2026-04-22 14:49:30
450,红利破净股,BK1636,1042.34,-4.82,-0.46,13625380608000,0.18,7,30,南京高科,1.63,2026-04-22 14:49:30
452,AB股,BK0498,12191.58,-58.06,-0.47,1341004720000,1.5,22,48,东方通信,5.49,2026-04-22 14:49:30
454,租售同权,BK0822,720.79,-3.48,-0.48,348436608000,1.12,6,11,市北高新,3.11,2026-04-22 14:49:30
453,青蒿素,BK0872,1927.56,-9.25,-0.48,318102784000,1.37,3,8,海正药业,2.53,2026-04-22 14:49:30
455,首发经济,BK1186,1113.85,-5.46,-0.49,379898432000,2.45,12,29,云天励飞-U,4.83,2026-04-22 14:49:30
456,草甘膦,BK0950,1890.9,-9.34,-0.49,207396856000,1.88,3,10,润丰股份,2.33,2026-04-22 14:49:30
457,调味品概念,BK1026,1056.06,-5.69,-0.54,704446784000,2.61,13,18,莲花控股,6.18,2026-04-22 14:49:30
458,沪企改革,BK0672,2737.58,-15.18,-0.55,920732096000,0.58,7,29,市北高新,3.11,2026-04-22 14:49:30
460,跨境电商,BK1115,1608.8,-9.08,-0.56,1681232512000,2.05,55,109,行云科技,7.48,2026-04-22 14:49:30
461,内贸流通,BK1001,1359.84,-7.61,-0.56,1442330144000,1.72,42,116,深圳华强,10.01,2026-04-22 14:49:30
459,乳业,BK0892,1137.62,-6.35,-0.56,440318992000,1.62,10,20,嘉必优,2.47,2026-04-22 14:49:30
462,预制菜概念,BK1025,1149.34,-6.58,-0.57,658008192000,2.21,14,50,天邦食品,6.25,2026-04-22 14:49:30
463,2026—季报预减,BK1681,1005.13,-5.82,-0.58,191159107000,3.86,6,4,飞龙股份,3.77,2026-04-22 14:49:30
